model,idx,image,true,pred,correct,prob_pred,prob_malignant,lesion_area,lesion_energy,peak_in_lesion,border_energy,hot_area
DenseNet121,0,malignant (30).png,malignant,malignant,True,0.9619,0.9619,0.2623,0.4496,True,0.1715,0.2314
DenseNet121,1,benign (110).png,benign,benign,True,0.9978,0.0022,0.1448,0.3887,True,0.2363,0.2278
DenseNet121,2,benign (245).png,benign,benign,True,0.9856,0.0144,0.0217,0.0628,False,0.1897,0.1914
DenseNet121,3,benign (22).png,benign,benign,True,0.9983,0.0017,0.0525,0.1900,True,0.0526,0.1649
DenseNet121,4,benign (399).png,benign,benign,True,0.5452,0.4548,0.1395,0.4784,True,0.1647,0.1644
DenseNet121,5,malignant (133).png,malignant,malignant,True,0.9548,0.9548,0.3771,0.6476,True,0.1580,0.1877
DenseNet121,6,benign (219).png,benign,benign,True,0.7514,0.2486,0.0252,0.1057,False,0.2424,0.1599
DenseNet121,7,benign (427).png,benign,benign,True,0.9985,0.0015,0.0286,0.0739,True,0.1594,0.2700
DenseNet121,8,benign (381).png,benign,benign,True,0.9130,0.0870,0.0737,0.2601,True,0.1966,0.1653
DenseNet121,9,benign (55).png,benign,benign,True,0.9990,0.0010,0.0190,0.0572,True,0.1448,0.2140
DenseNet121,10,malignant (1).png,malignant,malignant,True,0.9915,0.9915,0.3391,0.6322,True,0.1518,0.3354
DenseNet121,11,benign (362).png,benign,benign,True,0.9827,0.0173,0.0127,0.0152,False,0.2197,0.1229
DenseNet121,12,benign (15).png,benign,benign,True,0.9938,0.0062,0.0082,0.0394,False,0.1350,0.1577
DenseNet121,13,benign (14).png,benign,benign,True,0.9958,0.0042,0.0118,0.0285,False,0.1098,0.2055
DenseNet121,14,malignant (62).png,malignant,malignant,True,0.9422,0.9422,0.1389,0.3366,True,0.1074,0.1636
DenseNet121,15,benign (435).png,benign,benign,True,0.9937,0.0063,0.0148,0.0666,True,0.2349,0.1752
DenseNet121,16,benign (191).png,benign,benign,True,0.9984,0.0016,0.0164,0.0721,False,0.1825,0.1765
DenseNet121,17,malignant (145).png,malignant,benign,False,0.9997,0.0003,0.0161,0.0601,True,0.2108,0.2053
DenseNet121,18,benign (335).png,benign,benign,True,0.9744,0.0256,0.0684,0.1152,False,0.3211,0.2038
DenseNet121,19,benign (259).png,benign,benign,True,0.9962,0.0038,0.0511,0.1833,True,0.0378,0.1427
DenseNet121,20,benign (45).png,benign,benign,True,0.9995,0.0005,0.0692,0.1381,False,0.2017,0.3646
DenseNet121,21,benign (344).png,benign,benign,True,0.8509,0.1491,0.0488,0.1228,False,0.2555,0.2270
DenseNet121,22,benign (199).png,benign,benign,True,0.9895,0.0105,0.1853,0.2624,False,0.1895,0.3899
