model,idx,image,true,pred,correct,prob_pred,prob_malignant,lesion_area,lesion_energy,peak_in_lesion,border_energy,hot_area
ResNet50,0,malignant (30).png,malignant,malignant,True,0.9927,0.9927,0.2623,0.4606,True,0.0637,0.1016
ResNet50,1,benign (110).png,benign,benign,True,0.9876,0.0124,0.1448,0.3840,True,0.0132,0.0331
ResNet50,2,benign (245).png,benign,benign,True,0.9999,0.0001,0.0217,0.0948,False,0.0159,0.0307
ResNet50,3,benign (22).png,benign,benign,True,0.9999,0.0001,0.0525,0.3906,False,0.0044,0.0533
ResNet50,4,benign (399).png,benign,malignant,False,0.9609,0.9609,0.1395,0.4272,True,0.0377,0.0820
ResNet50,5,malignant (133).png,malignant,malignant,True,0.9971,0.9971,0.3771,0.8715,True,0.0212,0.1126
ResNet50,6,benign (219).png,benign,malignant,False,0.6909,0.6909,0.0252,0.0000,False,0.0726,0.1646
ResNet50,7,benign (427).png,benign,benign,True,0.9895,0.0105,0.0286,0.2595,True,0.0247,0.0434
ResNet50,8,benign (381).png,benign,benign,True,0.5569,0.4431,0.0737,0.0114,False,0.0909,0.0497
ResNet50,9,benign (55).png,benign,benign,True,0.9999,0.0001,0.0190,0.1368,True,0.0149,0.0946
ResNet50,10,malignant (1).png,malignant,malignant,True,0.9884,0.9884,0.3391,0.7165,False,0.0510,0.1373
ResNet50,11,benign (362).png,benign,benign,True,0.9681,0.0319,0.0127,0.0090,False,0.2421,0.0868
ResNet50,12,benign (15).png,benign,benign,True,0.9922,0.0078,0.0082,0.0677,False,0.0112,0.0343
ResNet50,13,benign (14).png,benign,benign,True,0.9985,0.0015,0.0118,0.1121,True,0.1523,0.0489
ResNet50,14,malignant (62).png,malignant,malignant,True,0.9998,0.9998,0.1389,0.4532,False,0.0285,0.1246
ResNet50,15,benign (435).png,benign,benign,True,0.7384,0.2616,0.0148,0.0289,False,0.0107,0.0220
ResNet50,16,benign (191).png,benign,benign,True,0.9946,0.0054,0.0164,0.1621,False,0.0198,0.0189
ResNet50,17,malignant (145).png,malignant,benign,False,0.9997,0.0003,0.0161,0.1007,False,0.0112,0.0267
ResNet50,18,benign (335).png,benign,benign,True,0.9414,0.0586,0.0684,0.0793,False,0.0313,0.0361
ResNet50,19,benign (259).png,benign,benign,True,0.9996,0.0004,0.0511,0.2870,True,0.0104,0.0625
ResNet50,20,benign (45).png,benign,benign,True,0.9997,0.0003,0.0692,0.1715,False,0.0421,0.1052
ResNet50,21,benign (344).png,benign,benign,True,0.9251,0.0749,0.0488,0.0793,False,0.0113,0.0288
ResNet50,22,benign (199).png,benign,benign,True,0.5560,0.4440,0.1853,0.0249,False,0.0726,0.0439
ResNet50,23,benign (240).png,benign,benign,True,0.9993,0.0007,0.1071,0.2554,True,0.0560,0.0481
ResNet50,24,malignant (140).png,malignant,malignant,True,0.7125,0.7125,0.1161,0.5406,True,0.0529,0.0722
ResNet50,25,benign (385).png,benign,benign,True,0.9994,0.0006,0.0385,0.2082,False,0.0056,0.0424
ResNet50,26,benign (125).png,benign,benign,True,0.9985,0.0015,0.0112,0.0932,False,0.0081,0.0583
ResNet50,27,benign (72).png,benign,benign,True,0.9917,0.0083,0.0796,0.3526,False,0.0165,0.0432
ResNet50,28,malignant (56).png,malignant,malignant,True,0.6917,0.6917,0.1902,0.7068,True,0.1200,0.0688
ResNet50,29,benign (196).png,benign,benign,True,0.9998,0.0002,0.0345,0.0202,False,0.0327,0.0599
ResNet50,30,malignant (120).png,malignant,malignant,True,0.9951,0.9951,0.1704,0.7305,True,0.0481,0.0919
ResNet50,31,benign (346).png,benign,benign,True,0.5403,0.4597,0.1678,0.2030,True,0.0848,0.0426
ResNet50,32,benign (139).png,benign,benign,True,0.9943,0.0057,0.0395,0.1859,False,0.0246,0.0341
ResNet50,33,malignant (59).png,malignant,malignant,True,0.9992,0.9992,0.2347,0.5848,True,0.0279,0.1146
ResNet50,34,malignant (8).png,malignant,malignant,True,0.9978,0.9978,0.0552,0.1754,False,0.0246,0.0762
ResNet50,35,benign (319).png,benign,benign,True,0.9801,0.0199,0.0377,0.3272,True,0.0077,0.0358
ResNet50,36,benign (303).png,benign,benign,True,1.0000,0.0000,0.0509,0.0814,False,0.0082,0.0334
ResNet50,37,benign (434).png,benign,benign,True,0.8529,0.1471,0.1639,0.7154,True,0.0160,0.0340
ResNet50,38,benign (28).png,benign,benign,True,0.9639,0.0361,0.0318,0.2963,False,0.0318,0.0456
ResNet50,39,benign (294).png,benign,benign,True,0.9955,0.0045,0.0757,0.3186,True,0.0465,0.0645
ResNet50,40,benign (122).png,benign,benign,True,0.8933,0.1067,0.0318,0.0075,False,0.0205,0.0236
ResNet50,41,benign (129).png,benign,benign,True,0.9984,0.0016,0.0143,0.1186,True,0.0115,0.0539
ResNet50,42,malignant (181).png,malignant,malignant,True,0.8733,0.8733,0.0458,0.0105,False,0.0918,0.0850
ResNet50,43,benign (171).png,benign,benign,True,0.7768,0.2232,0.0055,0.0162,False,0.0160,0.0490
ResNet50,44,malignant (89).png,malignant,malignant,True,0.8485,0.8485,0.2315,0.3538,False,0.1868,0.1491
ResNet50,45,benign (395).png,benign,malignant,False,0.9399,0.9399,0.1187,0.1466,False,0.1131,0.0835
ResNet50,46,malignant (44).png,malignant,benign,False,0.6503,0.3497,0.0304,0.0772,False,0.0193,0.0337
ResNet50,47,benign (264).png,benign,benign,True,0.9990,0.0010,0.0901,0.3504,True,0.0097,0.0373
ResNet50,48,benign (33).png,benign,benign,True,0.9910,0.0090,0.0593,0.2494,False,0.0167,0.0283
ResNet50,49,benign (44).png,benign,benign,True,0.9971,0.0029,0.0135,0.1282,True,0.0166,0.0459
ResNet50,50,malignant (138).png,malignant,malignant,True,0.5865,0.5865,0.1196,0.1836,False,0.1527,0.0758
ResNet50,51,benign (180).png,benign,benign,True,0.9909,0.0091,0.0254,0.2579,True,0.0111,0.0266
ResNet50,52,malignant (54).png,malignant,malignant,True,0.9868,0.9868,0.0607,0.1572,False,0.0679,0.0671
ResNet50,53,malignant (203).png,malignant,malignant,True,0.9702,0.9702,0.2251,0.7534,True,0.0417,0.0434
ResNet50,54,benign (239).png,benign,benign,True,0.9918,0.0082,0.0237,0.0982,False,0.0113,0.0232
ResNet50,55,benign (23).png,benign,benign,True,0.9985,0.0015,0.0414,0.3398,False,0.0146,0.0369
ResNet50,56,benign (398).png,benign,benign,True,0.6935,0.3065,0.2159,0.8375,True,0.0412,0.0261
ResNet50,57,benign (277).png,benign,benign,True,0.9986,0.0014,0.0779,0.1939,True,0.0680,0.0881
ResNet50,58,benign (235).png,benign,benign,True,0.9979,0.0021,0.0828,0.2658,False,0.0528,0.0597
ResNet50,59,benign (334).png,benign,benign,True,0.9661,0.0339,0.0240,0.0325,False,0.0261,0.0418
ResNet50,60,benign (217).png,benign,benign,True,0.9993,0.0007,0.0870,0.2226,False,0.0172,0.0349
ResNet50,61,malignant (52).png,malignant,benign,False,0.9660,0.0340,0.2075,0.2660,False,0.0346,0.0265
ResNet50,62,benign (365).png,benign,benign,True,0.9998,0.0002,0.0310,0.1703,False,0.0128,0.0678
ResNet50,63,benign (409).png,benign,benign,True,0.9829,0.0171,0.3656,0.1130,False,0.3475,0.0381
ResNet50,64,benign (273).png,benign,benign,True,0.9734,0.0266,0.1051,0.1724,False,0.1855,0.0628
ResNet50,65,benign (153).png,benign,benign,True,0.9982,0.0018,0.0064,0.0210,False,0.0230,0.0223
ResNet50,66,benign (400).png,benign,benign,True,0.9996,0.0004,0.3702,0.8672,True,0.0131,0.0756
ResNet50,67,malignant (33).png,malignant,malignant,True,0.9914,0.9914,0.2202,0.5899,True,0.0511,0.0903
ResNet50,68,benign (369).png,benign,benign,True,0.9970,0.0030,0.0118,0.1091,False,0.0071,0.0278
ResNet50,69,malignant (24).png,malignant,malignant,True,0.9997,0.9997,0.2132,0.5030,False,0.0721,0.1069
ResNet50,70,benign (160).png,benign,benign,True,0.9753,0.0247,0.0099,0.0775,False,0.0102,0.0211
ResNet50,71,benign (35).png,benign,benign,True,0.9852,0.0148,0.0116,0.0710,False,0.0303,0.0271
ResNet50,72,benign (187).png,benign,benign,True,0.9980,0.0020,0.0158,0.0687,False,0.0186,0.0346
ResNet50,73,malignant (172).png,malignant,malignant,True,0.9903,0.9903,0.0661,0.2325,True,0.0881,0.1239
ResNet50,74,benign (284).png,benign,benign,True,0.9996,0.0004,0.0624,0.2538,False,0.0201,0.0368
ResNet50,75,benign (37).png,benign,benign,True,0.9941,0.0059,0.0171,0.0865,False,0.0164,0.0236
ResNet50,76,benign (241).png,benign,benign,True,0.9996,0.0004,0.0453,0.1141,False,0.0132,0.0485
ResNet50,77,benign (324).png,benign,benign,True,0.9878,0.0122,0.0074,0.0598,False,0.0664,0.0270
ResNet50,78,benign (7).png,benign,benign,True,0.9490,0.0510,0.0061,0.0510,False,0.0626,0.0241
ResNet50,79,malignant (36).png,malignant,malignant,True,0.9776,0.9776,0.0991,0.5277,True,0.0288,0.0651
ResNet50,80,benign (169).png,benign,benign,True,0.8550,0.1450,0.0053,0.0254,False,0.0455,0.0813
ResNet50,81,malignant (64).png,malignant,malignant,True,0.9991,0.9991,0.0689,0.1172,False,0.0386,0.0764
ResNet50,82,benign (215).png,benign,benign,True,0.9672,0.0328,0.0235,0.1083,False,0.0451,0.0375
ResNet50,83,malignant (7).png,malignant,malignant,True,0.9918,0.9918,0.0499,0.2050,False,0.0146,0.0787
ResNet50,84,benign (157).png,benign,benign,True,0.9956,0.0044,0.0418,0.1791,False,0.0173,0.0288
ResNet50,85,benign (336).png,benign,benign,True,0.8717,0.1283,0.0399,0.1080,False,0.0444,0.0543
ResNet50,86,benign (428).png,benign,benign,True,0.9933,0.0067,0.0598,0.3980,False,0.0067,0.0673
ResNet50,87,benign (417).png,benign,benign,True,0.6386,0.3614,0.0281,0.1915,False,0.0136,0.0240
ResNet50,88,benign (436).png,benign,benign,True,0.9967,0.0033,0.0959,0.2283,True,0.0076,0.0402
ResNet50,89,malignant (93).png,malignant,malignant,True,0.9896,0.9896,0.1439,0.3647,True,0.0437,0.0919
ResNet50,90,benign (141).png,benign,malignant,False,1.0000,1.0000,0.5125,0.8383,True,0.0670,0.1313
