model,idx,image,true,pred,correct,prob_pred,prob_malignant,lesion_area,lesion_energy,peak_in_lesion,border_energy,hot_area
VGG16,0,malignant (30).png,malignant,malignant,True,0.9983,0.9983,0.2623,0.4390,True,0.2079,0.2278
VGG16,1,benign (110).png,benign,benign,True,0.9965,0.0035,0.1448,0.4026,False,0.3159,0.1123
VGG16,2,benign (245).png,benign,benign,True,0.9987,0.0013,0.0217,0.0490,False,0.4701,0.0344
VGG16,3,benign (22).png,benign,benign,True,0.9966,0.0034,0.0525,0.1590,False,0.1849,0.0410
VGG16,4,benign (399).png,benign,malignant,False,0.7041,0.7041,0.1395,0.1064,False,0.1074,0.0690
VGG16,5,malignant (133).png,malignant,malignant,True,0.9455,0.9455,0.3771,0.5680,True,0.1627,0.0878
VGG16,6,benign (219).png,benign,malignant,False,0.6052,0.6052,0.0252,0.0000,False,0.0248,0.0700
VGG16,7,benign (427).png,benign,benign,True,1.0000,0.0000,0.0286,0.0490,False,0.2107,0.0438
VGG16,8,benign (381).png,benign,benign,True,0.8925,0.1075,0.0737,0.0649,False,0.6536,0.0863
VGG16,9,benign (55).png,benign,benign,True,0.9998,0.0002,0.0190,0.1085,False,0.3254,0.0321
VGG16,10,malignant (1).png,malignant,malignant,True,0.9560,0.9560,0.3391,0.6377,True,0.2037,0.0488
VGG16,11,benign (362).png,benign,malignant,False,0.5335,0.5335,0.0127,0.0028,False,0.1654,0.0257
VGG16,12,benign (15).png,benign,benign,True,1.0000,0.0000,0.0082,0.0838,False,0.0934,0.0386
VGG16,13,benign (14).png,benign,benign,True,1.0000,0.0000,0.0118,0.0450,False,0.2348,0.0620
VGG16,14,malignant (62).png,malignant,malignant,True,0.9952,0.9952,0.1389,0.3345,True,0.1369,0.1966
VGG16,15,benign (435).png,benign,benign,True,1.0000,0.0000,0.0148,0.1555,True,0.1885,0.0430
VGG16,16,benign (191).png,benign,benign,True,1.0000,0.0000,0.0164,0.1354,False,0.1573,0.0405
VGG16,17,malignant (145).png,malignant,benign,False,1.0000,0.0000,0.0161,0.1564,True,0.2016,0.0391
VGG16,18,benign (335).png,benign,benign,True,0.9902,0.0098,0.0684,0.0745,False,0.4434,0.1041
VGG16,19,benign (259).png,benign,benign,True,1.0000,0.0000,0.0511,0.0809,False,0.1855,0.0619
VGG16,20,benign (45).png,benign,benign,True,1.0000,0.0000,0.0692,0.5146,True,0.0787,0.0361
VGG16,21,benign (344).png,benign,benign,True,0.9597,0.0404,0.0488,0.0902,False,0.4617,0.0360
VGG16,22,benign (199).png,benign,benign,True,0.8180,0.1820,0.1853,0.0543,False,0.3771,0.0626
VGG16,23,benign (240).png,benign,benign,True,1.0000,0.0000,0.1071,0.0905,False,0.2537,0.0426
VGG16,24,malignant (140).png,malignant,benign,False,0.8932,0.1068,0.1161,0.0102,False,0.5179,0.0508
VGG16,25,benign (385).png,benign,benign,True,1.0000,0.0000,0.0385,0.2106,True,0.2667,0.0516
VGG16,26,benign (125).png,benign,benign,True,1.0000,0.0000,0.0112,0.0966,True,0.2177,0.0413
VGG16,27,benign (72).png,benign,malignant,False,0.5224,0.5224,0.0796,0.0005,False,0.3130,0.0675
VGG16,28,malignant (56).png,malignant,benign,False,0.8794,0.1206,0.1902,0.3396,True,0.4691,0.0620
VGG16,29,benign (196).png,benign,benign,True,0.9998,0.0002,0.0345,0.0348,False,0.3333,0.0989
VGG16,30,malignant (120).png,malignant,malignant,True,0.5534,0.5534,0.1704,0.0316,False,0.5238,0.0229
VGG16,31,benign (346).png,benign,benign,True,1.0000,0.0000,0.1678,0.2150,True,0.2125,0.0371
VGG16,32,benign (139).png,benign,benign,True,1.0000,0.0000,0.0395,0.3465,True,0.2073,0.0418
VGG16,33,malignant (59).png,malignant,malignant,True,0.9689,0.9689,0.2347,0.4623,True,0.0683,0.1260
VGG16,34,malignant (8).png,malignant,malignant,True,0.9346,0.9346,0.0552,0.2233,True,0.0431,0.1165
VGG16,35,benign (319).png,benign,benign,True,1.0000,0.0000,0.0377,0.1582,False,0.3398,0.0837
